,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Rikitea,99,PF,1569125419,88,-23.12,-134.97,23.45,1.21
1,East London,0,ZA,1569125419,82,-33.02,27.91,14.0,3.6
2,Khatanga,100,RU,1569125420,78,71.98,102.47,4.55,6.94
3,Punta Arenas,40,CL,1569125315,75,-53.16,-70.91,5.0,6.7
4,Saint-Pierre,0,FR,1569125420,72,48.95,4.24,18.0,5.1
5,Fiumicino,40,IT,1569125420,53,41.77,12.23,23.0,8.7
6,Puerto Ayora,0,EC,1569125356,79,-0.74,-90.35,20.0,2.24
7,Tilichiki,0,RU,1569125421,43,60.47,166.1,8.95,5.69
8,Richards Bay,57,ZA,1569125421,89,-28.77,32.06,21.05,8.18
9,Lebu,75,ET,1569125421,87,8.96,38.73,14.0,2.1
10,Airai,82,TL,1569125421,51,-8.93,125.41,28.15,2.84
11,Mirpur Mathelo,0,PK,1569125421,25,28.02,69.55,35.55,2.03
12,Ushuaia,40,AR,1569125176,93,-54.81,-68.31,2.0,9.8
13,Castro,0,CL,1569125422,93,-42.48,-73.76,4.0,2.6
14,Mar del Plata,0,AR,1569125360,49,-46.43,-67.52,7.05,4.69
15,Constitucion,40,MX,1569125422,68,23.99,-104.67,19.0,1.0
16,Sabang,100,PH,1569125422,76,13.8,121.11,30.0,1.34
17,Dikson,100,RU,1569125422,96,73.51,80.55,2.85,7.46
18,Vaini,75,IN,1569125423,88,15.34,74.49,23.0,2.1
19,Avarua,100,CK,1569125423,78,-21.21,-159.78,24.0,0.5
20,Cape Town,75,ZA,1569125402,71,-33.93,18.42,14.44,6.2
21,Kaitangata,0,NZ,1569125423,68,-46.28,169.85,12.22,3.13
22,Shakawe,8,BW,1569125423,16,-18.36,21.84,16.25,2.45
23,Verkhnevilyuysk,12,RU,1569125424,76,63.45,120.31,9.25,5.26
24,Atuona,29,PF,1569125424,77,-9.8,-139.03,26.85,9.2
25,Les Cayes,100,HT,1569125424,75,18.19,-73.75,28.55,3.28
26,Hofn,31,IS,1569125424,86,64.25,-15.21,4.55,0.16
27,Hilo,40,US,1569125420,62,19.71,-155.08,30.0,2.6
28,Ponnani,40,IN,1569125425,70,10.77,75.93,30.0,1.0
29,Agirish,100,RU,1569125425,96,61.92,63.02,3.25,2.24
30,Esmeraldas,0,BR,1569125425,60,-19.76,-44.31,23.0,3.1
31,Hobart,75,AU,1569125182,43,-42.88,147.33,13.33,8.2
32,Dunedin,0,NZ,1569125305,78,-45.87,170.5,11.67,6.71
33,Tuatapere,0,NZ,1569125426,66,-46.13,167.69,10.85,3.49
34,Albany,1,US,1569125426,93,42.65,-73.75,16.67,0.69
35,Ariquemes,20,BR,1569125426,71,-9.91,-63.03,25.25,1.1
36,Hermanus,3,ZA,1569125427,99,-34.42,19.24,13.33,0.45
37,Luderitz,0,NA,1569125427,62,-26.65,15.16,14.0,10.8
38,Mahebourg,40,MU,1569125427,64,-20.41,57.7,22.78,6.7
39,Rio Grande,0,BR,1569125427,95,-32.03,-52.1,6.11,2.47
40,Los Llanos de Aridane,90,ES,1569125428,78,28.66,-17.92,23.0,1.0
41,Port Alfred,73,ZA,1569125268,87,-33.59,26.89,15.56,1.79
42,Lensk,25,RU,1569125428,76,60.71,114.91,8.75,6.09
43,Lively,1,US,1569125428,58,33.6,-99.18,29.0,6.7
44,Ostrovnoy,100,RU,1569125429,97,68.05,39.51,3.05,9.93
45,Coquimbo,0,CL,1569125429,93,-29.95,-71.34,15.0,1.5
46,Rio Gallegos,0,AR,1569125429,69,-51.62,-69.22,4.0,8.2
47,Mildura,75,AU,1569125429,36,-34.18,142.16,16.67,4.1
48,Jamestown,10,AU,1569125315,49,-33.21,138.6,13.75,6.63
49,Bluff,38,AU,1569125313,41,-23.58,149.07,27.25,5.55
50,Arcachon,66,FR,1569125430,72,44.65,-1.18,20.0,6.2
51,Guantanamo,0,BO,1569125430,41,-16.14,-62.05,23.75,2.29
52,Mataura,0,NZ,1569125430,45,-46.19,168.86,16.25,0.96
53,Butaritari,0,KI,1569125416,57,3.07,172.79,29.55,2.05
54,Barrow,0,AR,1569125431,72,-38.31,-60.23,3.55,1.78
55,Provideniya,100,RU,1569125431,57,64.42,-173.23,1.45,1.21
56,Coari,38,BR,1569125431,51,-4.09,-63.14,27.05,1.47
57,Kloulklubed,75,PW,1569125431,74,7.04,134.26,30.0,4.6
58,Choma,7,ZM,1569125432,36,-16.81,26.98,15.95,2.47
59,Freeport,100,BS,1569125492,75,26.54,-78.7,26.05,10.96
60,Pucallpa,75,PE,1569125492,88,-8.38,-74.54,25.0,0.67
61,Waraseoni,100,IN,1569125492,86,21.76,80.05,25.85,1.29
62,Mehamn,100,NO,1569125492,88,71.03,27.85,2.45,7.51
63,Vanimo,100,PG,1569125493,77,-2.67,141.3,26.45,4.23
64,Rincon,99,PA,1569125493,93,8.46,-82.28,22.95,0.86
65,Sao Jose da Coroa Grande,16,BR,1569125493,95,-8.9,-35.15,20.85,1.56
66,Imeni Poliny Osipenko,0,RU,1569125480,41,52.42,136.49,17.25,3.51
67,Sao Gabriel da Cachoeira,100,BR,1569125494,98,-0.13,-67.09,23.15,0.73
68,Bethel,75,US,1569125494,87,60.79,-161.76,8.0,7.7
69,Wairoa,0,NZ,1569125494,67,-39.04,177.43,13.89,2.24
70,Upernavik,100,GL,1569125494,72,72.79,-56.15,3.25,3.51
71,Santa Cruz de la Palma,90,ES,1569125495,78,28.68,-17.76,23.0,1.0
72,Yellowknife,75,CA,1569125310,76,62.45,-114.38,12.0,5.1
73,Esperance,90,AU,1569125460,62,-33.86,121.89,14.0,4.6
74,Busselton,0,AU,1569125495,35,-33.64,115.35,18.89,4.73
75,Caravelas,0,BR,1569125496,84,-17.73,-39.27,21.55,3.04
76,Bredasdorp,0,ZA,1569125447,87,-34.53,20.04,11.0,4.6
77,Alto Araguaia,2,BR,1569125496,63,-17.32,-53.22,23.05,1.46
78,Guarapari,75,BR,1569125496,78,-20.67,-40.5,24.0,3.1
79,Saldanha,0,PT,1569125496,86,41.42,-6.55,12.55,0.99
80,Westport,1,US,1569125497,82,41.14,-73.36,19.0,0.95
81,Teguise,17,ES,1569125450,83,29.06,-13.56,23.0,2.1
82,Rawson,0,AR,1569125497,37,-43.3,-65.11,9.35,5.14
83,Thompson,90,CA,1569124952,87,55.74,-97.86,10.0,2.6
84,Victoria,75,BN,1569125482,62,5.28,115.24,33.0,1.5
85,Calvia,0,ES,1569125498,78,39.57,2.51,23.33,2.1
86,Qaanaaq,10,GL,1569125498,43,77.48,-69.36,-6.55,2.39
87,Shitanjing,11,CN,1569125498,30,39.23,106.34,20.75,1.2
88,Yulara,0,AU,1569125498,18,-25.24,130.99,21.0,5.7
89,Mackay,40,CA,1569125499,55,53.65,-115.58,16.0,1.0
90,Alyangula,24,AU,1569125499,51,-13.85,136.42,30.0,4.6
91,Harper,1,US,1569125499,65,30.3,-99.24,26.11,5.1
92,Puerto Ayacucho,97,CO,1569125499,90,5.66,-67.63,25.15,3.23
93,New Norfolk,75,AU,1569125499,43,-42.78,147.06,13.33,8.2
94,Vaitape,0,PF,1569125500,84,-16.52,-151.75,26.85,6.71
95,Kutum,34,SD,1569125500,54,14.2,24.66,25.15,4.45
96,Hithadhoo,65,MV,1569125500,75,-0.6,73.08,28.05,5.7
97,Marion,1,US,1569125500,68,35.21,-90.2,25.0,2.09
98,Cockburn Town,100,TC,1569125237,78,21.46,-71.14,28.55,2.72
99,Tasiilaq,100,GL,1569125501,75,65.61,-37.64,6.0,14.9
100,Kodiak,40,US,1569125501,94,39.95,-94.76,24.0,4.6
101,Chokurdakh,0,RU,1569125437,53,70.62,147.9,1.95,2.71
102,Griffith,0,AU,1569125502,31,-34.29,146.06,18.89,5.7
103,Alanya,0,TR,1569125502,22,36.55,32.0,24.0,4.6
104,Newport,98,GB,1569125502,93,51.59,-3.0,18.33,3.6
105,Severo-Kurilsk,33,RU,1569125305,82,50.68,156.12,8.75,6.54
106,Marzuq,48,YE,1569125503,38,14.4,46.47,21.45,0.7
107,Lata,33,IN,1569125460,66,30.78,78.62,6.15,2.13
108,Mezhova,99,UA,1569125503,41,48.26,36.73,9.65,7.33
109,Surt,0,LY,1569125503,79,31.21,16.59,25.05,6.55
110,Cap Malheureux,40,MU,1569125504,69,-19.98,57.61,23.0,6.7
111,Shingu,75,JP,1569125504,74,33.72,135.99,28.0,7.2
112,Matagami,51,NG,1569125505,94,9.67,8.4,20.25,0.46
113,Gushikawa,90,JP,1569125505,74,26.35,127.87,28.0,9.3
114,Encruzilhada,58,BR,1569125505,96,-15.53,-40.91,15.45,1.97
115,Qaqortoq,83,GL,1569125506,93,60.72,-46.03,3.0,1.5
116,Norman Wells,90,CA,1569125506,87,65.28,-126.83,11.0,4.6
117,Viedma,0,AR,1569125507,30,-40.81,-62.99,7.65,3.63
118,Port Hardy,90,CA,1569125567,93,50.7,-127.42,14.0,3.1
119,Lagoa,20,PT,1569125567,88,37.14,-8.45,17.22,3.6
120,Tecoanapa,75,MX,1569125567,83,16.99,-99.26,28.0,1.0
121,Tautira,40,PF,1569125568,74,-17.73,-149.15,28.0,1.5
122,Bichena,57,ET,1569125568,87,10.45,38.2,9.45,0.71
123,Kahului,40,US,1569125568,65,20.89,-156.47,29.0,6.7
124,Chacabuco,0,AR,1569125568,55,-34.64,-60.47,9.35,3.09
125,Bam,0,IR,1569125569,34,29.11,58.36,20.05,0.74
126,Kidal,0,ML,1569125569,10,18.44,1.41,30.95,4.79
127,Port Hedland,0,AU,1569125483,8,-20.31,118.58,29.0,7.7
128,Sitka,100,US,1569125569,67,37.17,-99.65,23.33,6.71
129,Chuy,0,UY,1569125569,76,-33.69,-53.46,12.55,7.21
130,Brownsville,75,US,1569125569,78,25.91,-97.49,28.89,2.1
131,Kapaa,40,US,1569125570,78,22.08,-159.32,31.0,7.7
132,Poum,0,MK,1569125570,87,41.28,20.71,6.0,2.1
133,Longyearbyen,40,NO,1569125570,77,78.22,15.63,0.0,3.1
134,Talnakh,75,RU,1569125570,55,69.49,88.39,1.0,14.0
135,Ponta do Sol,51,BR,1569125571,56,-20.63,-46.0,23.55,2.6
136,Dzaoudzi,40,YT,1569125571,74,-12.79,45.27,27.0,5.1
137,Bonthe,100,SL,1569125571,91,7.53,-12.5,24.35,1.79
138,Le Vauclin,0,MQ,1569125571,88,14.55,-60.84,26.0,2.6
139,Fort Saint James,100,CA,1569125572,82,54.43,-124.25,11.75,2.59
140,Faanui,0,PF,1569125572,84,-16.48,-151.75,26.85,6.71
141,Plouzane,90,FR,1569125572,93,48.38,-4.62,16.11,3.6
142,Mangrol,75,IN,1569125572,88,25.33,76.51,26.0,0.5
143,Nikolskoye,20,RU,1569125304,86,59.7,30.79,6.11,4.0
144,Songkhla,40,TH,1569125574,70,7.2,100.6,31.0,1.5
145,Nara,75,JP,1569125574,62,34.68,135.8,29.44,8.7
146,Georgetown,40,GY,1569125574,94,6.8,-58.16,26.0,2.1
147,La Paz,75,MX,1569125574,70,24.15,-110.32,29.0,3.62
148,Homer,20,US,1569125302,57,59.64,-151.54,11.0,5.1
149,Maba,1,CN,1569125575,49,24.68,113.59,26.35,1.58
150,Varnamo,14,SE,1569125575,100,57.19,14.04,7.0,1.5
151,Ribeira Grande,100,PT,1569125575,87,38.52,-28.7,22.75,9.9
152,Igarka,45,RU,1569125575,70,67.47,86.57,2.75,10.31
153,Mackenzie,90,CA,1569125576,93,55.34,-123.09,12.0,3.6
154,Nantucket,1,US,1569125576,87,41.28,-70.1,18.33,3.02
155,Saskylakh,60,RU,1569125576,80,71.97,114.09,5.95,5.12
156,Timbuktu,63,ML,1569125576,26,16.77,-3.01,34.05,1.49
157,Andapa,26,MG,1569125577,95,-14.66,49.65,12.55,1.58
158,Pevek,100,RU,1569125567,90,69.7,170.27,1.55,5.98
159,Bambous Virieux,40,MU,1569125418,64,-20.34,57.76,22.78,6.7
160,Ilinskiy,90,RU,1569125577,93,55.62,38.12,6.11,3.0
161,Port Lincoln,91,AU,1569125577,71,-34.72,135.86,13.25,11.13
162,Saint-Joseph,99,FR,1569125577,93,43.56,6.97,20.0,2.1
163,Aberdeen,90,US,1569125398,93,46.98,-123.82,17.78,2.6
164,Aksarka,22,RU,1569125578,77,66.56,67.8,0.95,4.23
165,Tuktoyaktuk,90,CA,1569125578,93,69.44,-133.03,6.0,3.6
166,Kushchevskaya,0,RU,1569125579,59,46.56,39.64,9.05,4.38
167,Buala,44,SB,1569125579,72,-8.15,159.59,28.75,5.11
168,Ballina,75,IE,1569125499,100,54.11,-9.15,16.11,3.6
169,Ketchikan,20,US,1569125579,93,55.34,-131.65,13.0,2.1
170,De-Kastri,1,RU,1569125579,60,51.48,140.77,13.35,6.53
171,Saulkrasti,40,LV,1569125580,82,57.26,24.42,14.0,2.6
172,Jumla,0,NP,1569125580,71,29.28,82.18,14.75,0.96
173,Eufaula,90,US,1569125580,100,31.89,-85.15,21.67,1.53
174,Kamaishi,75,JP,1569125581,88,39.28,141.86,20.0,2.1
175,Lipari,40,IT,1569125581,88,38.47,14.95,23.33,3.6
176,Sur,0,OM,1569125581,45,22.57,59.53,28.25,4.75
177,Port Elizabeth,1,US,1569125642,87,39.31,-74.98,21.67,1.86
178,Krasnoarmeysk,90,RU,1569125642,93,56.12,38.15,6.11,6.0
179,Marsh Harbour,100,BS,1569125642,76,26.54,-77.06,26.15,11.22
180,Atbasar,100,KZ,1569125643,36,51.81,68.36,18.05,7.98
181,Saint-Philippe,1,CA,1569125362,93,45.36,-73.48,20.0,2.1
182,Afonso Claudio,62,BR,1569125643,80,-20.07,-41.12,21.05,0.61
183,La Cruz,36,MX,1569125643,96,23.92,-106.89,26.11,2.12
184,San Juan,0,AR,1569125643,18,-31.54,-68.53,7.65,0.85
185,Namatanai,54,PG,1569125497,74,-3.66,152.44,27.35,1.45
186,Umm Lajj,0,SA,1569125644,83,25.02,37.27,28.45,7.54
187,Ust-Nera,37,RU,1569125644,59,64.57,143.24,3.05,2.21
188,Tura,97,RU,1569125592,59,64.27,100.22,3.35,9.9
189,General Roca,0,AR,1569125644,52,-39.03,-67.58,7.0,0.66
190,Vao,94,EE,1569125645,84,59.1,26.19,6.05,5.44
191,Kruisfontein,68,ZA,1569125645,85,-34.0,24.73,12.05,8.2
192,Henties Bay,99,NA,1569125645,88,-22.12,14.28,13.33,5.93
193,Souillac,0,FR,1569125645,77,45.6,-0.6,20.0,5.7
194,Iwanai,100,JP,1569125646,60,42.97,140.51,16.05,2.89
195,Laguna,0,BZ,1569125445,94,16.17,-88.94,26.0,0.38
196,Kologriv,100,RU,1569125646,93,58.83,44.31,2.45,1.5
197,Riachao das Neves,0,BR,1569125647,33,-11.75,-44.91,23.35,1.68
198,Torbay,5,CA,1569125647,86,47.66,-52.73,6.67,5.7
199,Ouegoa,97,NC,1569125647,75,-20.34,164.44,22.05,9.11
200,Ixtlahuacan del Rio,20,MX,1569125647,68,20.87,-103.25,23.33,2.6
201,Conceicao da Barra,0,BR,1569125648,87,-18.59,-39.73,19.55,1.37
202,Vostok,0,RU,1569125648,59,46.45,135.83,12.35,3.28
203,Chicama,40,PE,1569125648,87,-7.84,-79.15,16.0,3.6
204,Eyl,100,SO,1569125648,74,7.98,49.82,22.85,4.92
205,Huanren,0,CN,1569125649,41,41.26,125.37,17.75,3.71
206,Oxford,75,GB,1569125580,87,51.75,-1.26,18.33,1.0
207,Mayo,90,CA,1569125649,62,63.59,-135.9,12.0,3.6
208,Lavrentiya,100,RU,1569125588,62,65.58,-170.99,0.65,1.51
209,Hambantota,40,LK,1569125649,100,6.12,81.12,25.0,2.1
210,Cabo San Lucas,75,MX,1569125358,88,22.89,-109.91,30.0,5.1
211,Isangel,75,VU,1569125650,69,-19.55,169.27,25.0,6.2
212,Port-Gentil,100,GA,1569125650,84,-0.72,8.78,25.25,5.76
213,Nanortalik,100,GL,1569125650,92,60.14,-45.24,4.85,2.96
214,Pimentel,0,BR,1569125650,84,-3.7,-45.5,23.95,2.17
215,Orsta,0,NO,1569125651,93,62.2,6.13,11.0,4.1
216,Carutapera,3,BR,1569125651,81,-1.2,-46.02,25.55,3.68
217,Mareeba,0,AU,1569125651,35,-16.99,145.42,29.0,7.2
218,Kavieng,19,PG,1569125652,66,-2.57,150.8,29.05,2.78
219,Darhan,80,MN,1569125652,61,49.49,105.92,16.65,3.22
220,Harwich,1,US,1569125652,87,41.69,-70.08,18.89,4.15
221,Tahe,0,CN,1569125652,49,52.34,124.71,18.45,2.93
222,Toamasina,40,MG,1569125653,88,-18.17,49.38,21.0,3.6
223,Hirara,40,JP,1569125653,62,24.8,125.28,29.0,7.7
224,Karasburg,23,NA,1569125653,94,-28.01,18.75,6.05,3.81
225,Carnarvon,77,ZA,1569125654,80,-30.97,22.13,9.15,7.26
226,Touros,40,BR,1569125650,88,-5.2,-35.46,23.0,2.1
227,Devonport,81,AU,1569125654,62,-41.18,146.36,12.22,0.89
228,Berlevag,100,NO,1569125654,80,70.86,29.09,4.55,8.78
229,Mwinilunga,19,ZM,1569125655,35,-11.73,24.43,17.15,1.79
230,Beaverlodge,75,CA,1569125655,62,55.21,-119.43,14.0,1.5
231,Qarchi Gak,5,AF,1569125655,15,37.04,66.79,28.0,1.5
232,Alice Springs,90,AU,1569125534,18,-23.7,133.88,20.0,6.7
233,Alasehir,0,TR,1569125656,56,38.35,28.52,10.85,1.88
234,Bansi,75,IN,1569125656,74,27.18,82.93,28.15,1.8
235,Cayenne,0,GF,1569125656,88,4.94,-52.33,25.0,3.29
